key,freq,freq_pct
"amis

",149,0.019300468
game,140,0.018134668
micro,115,0.014896335
"ami

",90,0.011658001
syst?me,86,0.011139868
clique,74,0.009585467
disque,72,0.009326401
dj,72,0.009326401
"film

",66,0.008549201
cliquez,66,0.008549201
"buzz

",65,0.008419667
numéro,65,0.008419667
télé,61,0.007901534
midi,60,0.007772001
net,59,0.007642467
livre,49,0.006347134
single,39,0.0050518
like,37,0.004792734
films,37,0.004792734
microphone,37,0.004792734
message,36,0.0046632
code,36,0.0046632
poste,32,0.004145067
follow,31,0.004015534
percer,29,0.003756467
téléphone,29,0.003756467
cd,26,0.003367867
cro-mi,25,0.003238334
disques,25,0.003238334
photos,24,0.0031088
internet,23,0.002979267
vidéo,21,0.0027202
écran,21,0.0027202
clips,21,0.0027202
phone,21,0.0027202
livres,21,0.0027202
partage,20,0.002590667
perce,19,0.002461134
pub,19,0.002461134
messages,19,0.002461134
caméra,19,0.002461134
réseau,19,0.002461134
photo,19,0.002461134
médias,18,0.0023316
"movie

",17,0.002202067
"cinéma

",17,0.002202067
"virus

",16,0.002072533
connexion,16,0.002072534
infos,16,0.002072534
facebook,15,0.001943
"story

",15,0.001943
"clip

",15,0.001943
portable,15,0.001943
réseaux,15,0.001943
journal,15,0.001943
"partager

",14,0.001813467
"chat

",14,0.001813467
call,14,0.001813467
codes,14,0.001813467
numéros,13,0.001683934
posté,12,0.0015544
iphone,12,0.0015544
console,11,0.001424867
skyrock,11,0.001424867
poster,10,0.001295333
"influence

",10,0.001295333
"youtube

",10,0.001295333
programme,10,0.001295333
disquettes,10,0.001295333
sonner,10,0.001295333
"percé

",9,0.0011658
"filme

",9,0.0011658
téléphoner,9,0.0011658
électrique,9,0.0011658
électriques,9,0.0011658
singles,9,0.0011658
"ciné

",8,0.001036267
texto,8,0.001036267
caméras,8,0.001036267
bug,8,0.001036267
playstation,8,0.001036267
tf1,8,0.001036267
magazine,8,0.001036267
"partagé

",7,0.000906733
fm,7,0.000906733
micros,7,0.000906733
mp3,7,0.000906733
enregistre,7,0.000906733
vinyle,7,0.000906733
"postés

",6,0.0007772
"statut

",6,0.0007772
"instagram

",6,0.0007772
"vidéos

",6,0.0007772
"geek

",6,0.0007772
"buzzer

",6,0.0007772
"chats

",6,0.0007772
"messagerie

",6,0.0007772
sextape,6,0.0007772
cliques,6,0.0007772
électricité,6,0.0007772
systém,6,0.0007772
enregistrer,6,0.0007772
info,6,0.0007772
"filmer

",5,0.000647667
cam,5,0.000647667
site,5,0.000647667
électronique,5,0.000647667
clavier,5,0.000647667
journaux,5,0.000647667
libération,5,0.000647667
magazines,5,0.000647667
"vidéoclips

",4,0.000518133
"snap

",4,0.000518133
"google

",4,0.000518133
"geeks

",4,0.000518133
"publicité

",4,0.000518133
"forums

",4,0.000518133
"lol

",4,0.000518133
télés,4,0.000518133
télévision,4,0.000518133
pirate,4,0.000518133
disquette,4,0.000518133
walkmans,4,0.000518133
itunes,4,0.000518133
"taguer

",3,0.0003886
tag,3,0.0003886
"myspace

",3,0.0003886
"stream

",3,0.0003886
"publicités

",3,0.0003886
